column_name,description,description_bahasa,raw_output
product_name,"This column represents the name of the product, with example values indicating a focus on 'Wifi'.","Kolom ini mewakili nama produk, dengan nilai contoh yang menunjukkan fokus pada 'wifi'.","product_name: This column represents the name of the product, with example values indicating a focus on 'Wifi'."
last_update,"This column captures the last update timestamp in a specific format, such as '26/08/25 12.23'.","Kolom ini menangkap cap waktu pembaruan terakhir dalam format tertentu, seperti '26/08/25 12.23 '.","last_update: This column captures the last update timestamp in a specific format, such as '26/08/25 12.23'."
updated_date,"This column contains a more precise update timestamp, including time zone information, like '2025-08-26 12:23:26.048 +0700'.","Kolom ini berisi cap waktu pembaruan yang lebih tepat, termasuk informasi zona waktu, seperti '2025-08-26 12: 23: 26.048 +0700'.","updated_date: This column contains a more precise update timestamp, including time zone information, like '2025-08-26 12:23:26.048 +0700'."
sid,"This column serves as a unique numerical identifier for each product, exemplified by values like '7102024' and '8082024'.","Kolom ini berfungsi sebagai pengidentifikasi numerik yang unik untuk setiap produk, dicontohkan oleh nilai -nilai seperti '7102024' dan '8082024'.","sid: This column serves as a unique numerical identifier for each product, exemplified by values like '7102024' and '8082024'."
ncx,"This column appears to indicate a binary or categorical status, where values like '1' may signify a particular product feature or characteristic.","Kolom ini tampaknya menunjukkan status biner atau kategorikal, di mana nilai -nilai seperti '1' dapat menandakan fitur atau karakteristik produk tertentu.","ncx: This column appears to indicate a binary or categorical status, where values like '1' may signify a particular product feature or characteristic."
oss,"Indicates a binary status for the OSS product, where '1' denotes inclusion and '0' exclusion.","Menunjukkan status biner untuk produk OSS, di mana '1' menunjukkan inklusi dan pengecualian '0'.","oss: Indicates a binary status for the OSS product, where '1' denotes inclusion and '0' exclusion."
tibs,"Represents a binary status for the TIBS product, with '1' signifying inclusion and '0' signifying exclusion.","Mewakili status biner untuk produk TIBS, dengan '1' menandakan inklusi dan '0' menandakan pengecualian.","tibs: Represents a binary status for the TIBS product, with '1' signifying inclusion and '0' signifying exclusion."
product_ncx,"Lists the name of the product in the NCX system, with 'ASTINet' as a recurring example.","Daftar nama produk dalam sistem NCX, dengan 'Astinet' sebagai contoh berulang.","product_ncx: Lists the name of the product in the NCX system, with 'ASTINet' as a recurring example."
product_tibs,"Captures the names of products in the TIBS system, including variations like 'Telkom ASTINET' and 'ASTINet'.","Menangkap nama -nama produk dalam sistem TIBS, termasuk variasi seperti 'Telkom Astinet' dan 'Astinet'.","product_tibs: Captures the names of products in the TIBS system, including variations like 'Telkom ASTINET' and 'ASTINet'."
product_oss,"Displays the name of the OSS product, with all example values showing 'Wifi_RFS', indicating consistency in this attribute.","Menampilkan nama produk OSS, dengan semua nilai contoh yang menunjukkan 'wifi_rfs', yang menunjukkan konsistensi dalam atribut ini.","product_oss: Displays the name of the OSS product, with all example values showing 'Wifi_RFS', indicating consistency in this attribute."
divisi,"This column likely categorizes the division associated with each entry, as suggested by its example values like 'UNSE' and 'DSS'.","Kolom ini kemungkinan mengkategorikan divisi yang terkait dengan setiap entri, seperti yang disarankan oleh contoh -nilai contohnya seperti 'unse' dan 'DSS'.","divisi: This column likely categorizes the division associated with each entry, as suggested by its example values like 'UNSE' and 'DSS'."
segmen,"This column probably indicates the market segment or classification related to the product offerings, with examples like ' CGS' and 'MANUFACTURE AND INFRASTRUCTURE'.","Kolom ini mungkin menunjukkan segmen pasar atau klasifikasi yang terkait dengan penawaran produk, dengan contoh -contoh seperti 'CGS' dan 'manufaktur dan infrastruktur'.","segmen: This column probably indicates the market segment or classification related to the product offerings, with examples like ' CGS' and 'MANUFACTURE AND INFRASTRUCTURE'."
ncx_order_num,"This column captures unique identifiers for each NCX order, as evidenced by examples such as '1-407971990' and '1-407972084'.","Kolom ini menangkap pengidentifikasi unik untuk setiap urutan NCX, sebagaimana dibuktikan dengan contoh-contoh seperti '1-407971990' dan '1-407972084'.","ncx_order_num: This column captures unique identifiers for each NCX order, as evidenced by examples such as '1-407971990' and '1-407972084'."
ncx_li_milestone,"This column reflects the current status of the NCX order, where values like 'PROVISION START' and 'FULFILL BILLING COMPLETE' denote different stages in the order processing workflow.","Kolom ini mencerminkan status saat ini dari urutan NCX, di mana nilai -nilai seperti 'ketentuan mulai' dan 'memenuhi penagihan lengkap' menunjukkan berbagai tahap dalam alur kerja pemrosesan pesanan.","ncx_li_milestone: This column reflects the current status of the NCX order, where values like 'PROVISION START' and 'FULFILL BILLING COMPLETE' denote different stages in the order processing workflow."
[TOTAL_TOKENS],2342,,
[TIME_ELAPSED_SECONDS],297.68,,
